Name,type,value
Tim Tangletongue,Book(s),A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Timeon,Alias,Timeon of Dorne
Timeon,Allegiance,Brave Companions
Timeon,Culture,Dornish
Timeon,Born,At Dorne
Timeon,Died,In 300 AC; at Whispers
Timeon,Book(s),A Storm of Swords (appears) A Feast for Crows (appears)
Timett,Alias,Timett One-Eye
Timett,Title,red hand
Timett,Allegiance,Burned Men
Timett,Culture,Vale mountain clans
Timett,Born,In or between 278 AC and 282 AC;
Timett,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (mentioned) A Dance with Dragons (mentioned)
Timett,Played by,Tobias Winter
Timett,TV series,Season 1
Timett (father),Allegiance,Burned Men
Timett (father),Culture,Vale mountain clans
Timett (father),Book(s),A Game of Thrones (mentioned) A Clash of Kings (mentioned) A Dance with Dragons (mentioned)
Timon,Alias,Timon the Scrapesword
Timon,Title,Ser
Timon,Book(s),A Clash of Kings (appears) A Storm of Swords (mentioned)
Timoth,Allegiance,House Martell
Timoth,Book(s),A Feast for Crows (mentioned)
Tion Frey,Allegiance,House Frey House Lannister
Tion Frey,Born,In or between 279 AC and 284 AC;
Tion Frey,Died,In 299 AC; at Riverrun
Tion Frey,Book(s),A Game of Thrones (appendix) A Clash of Kings (mentioned) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Titus Peake,Title,Lord of Starpike
Titus Peake,Allegiance,House Peake
Titus Peake,Spouse,Lady Margot Lannister
Titus Peake,Book(s),A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Tobbot,Allegiance,House Clegane
Tobbot,Book(s),A Clash of Kings (mentioned)
Tobho Mott,Culture,Qohor
Tobho Mott,Book(s),A Game of Thrones (appears) A Clash of Kings (mentioned) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Tobho Mott,Played by,Andrew Wilde
Tobho Mott,TV series,Season 1
Todder,Alias,Toad
Todder,Allegiance,Night's Watch
Todder,Book(s),A Game of Thrones (appears) A Clash of Kings (mentioned) A Storm of Swords (appears) A Dance with Dragons (appears)
Todric,Died,In 299 AC; at the Stony Shore
Todric,Book(s),A Clash of Kings (appears)
Toefinger,Culture,Free Folk
Toefinger,Book(s),A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Togg Joth,Allegiance,Brave Companions
Togg Joth,Culture,Ibbenese
Togg Joth,Book(s),A Storm of Swords (appears) A Feast for Crows (mentioned)
Tom Costayne,Alias,Long Tom Costayne
Tom Costayne,Title,Ser
Tom Costayne,Allegiance,House Costayne;Kingsguard
Tom Costayne,Book(s),A Feast for Crows (mentioned)
Tom of Sevenstreams,Alias,Tom O'Sevens;Tom Sevenstrings
Tom of Sevenstreams,Allegiance,Brotherhood without banners
Tom of Sevenstreams,Born,In or between 240 AC and 249 AC;
Tom of Sevenstreams,Book(s),A Storm of Swords (appears) A Feast for Crows (appears)
Tom;Too,Allegiance,House Stark
Tom;Too,Culture,Northmen
Tom;Too,Book(s),A Clash of Kings (mentioned)
Tomard,Alias,Fat Tom
Tomard,Allegiance,House Stark
Tomard,Culture,northmen
Tomard,Born,In or between 249 AC and 253 AC;
Tomard,Died,In 298 AC; at King's Landing
Tomard,Book(s),A Game of Thrones (appears) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Dance with Dragons (mentioned)
Tommard Heddle,Alias,Black Tom Heddle
Tommard Heddle,Title,Ser
Tommard Heddle,Allegiance,House Heddle;House Butterwell;House Blackfyre
Tommard Heddle,Died,In 211 AC; at Whitewalls
Tommard Heddle,Book(s),The Mystery Knight (appears)
Tommen Baratheon,Reign,300 AC - Current ruler
Tommen Baratheon,Full Name,Tommen Baratheon the First of His Name
Tommen Baratheon,Alias,The Boy King;
Tommen Baratheon,Other Titles,King of the Andals; the Rhoynar; and the First Men;Lord of the Seven Kingdoms
Tommen Baratheon,Born in,291 AC;
Tommen Baratheon,Predecessor,Joffrey I Baratheon
Tommen Baratheon,Heir,Myrcella Baratheon
Tommen Baratheon,Queen,Margaery Tyrell
Tommen Baratheon,Father,Robert I Baratheon (legally)Jaime Lannister (biologically)
Tommen Baratheon,Mother,Cersei Lannister
Tommen Baratheon,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (appears) A Dance with Dragons (appears)
Tommen Baratheon,Played by,Callum Wharry ~ Seasons 1-2Dean-Charles Chapman ~ 4-6
Tommen Baratheon,TV series,Season 1
Tommen Costayne,Title,Lord of the Three Towers
Tommen Costayne,Allegiance,House Costayne
Tommen Costayne,Book(s),A Feast for Crows (mentioned)
Torbert,Title,Septon
Torbert,Allegiance,Faith of the Seven;Most Devout
Torbert,Book(s),A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Toregg,Alias,Toregg the Tall
Toregg,Culture,Free Folk
Toregg,Book(s),A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Tormund,Alias,Tormund Giantsbane  Mead-King of Ruddy Hall  Tormund Thunderfist  Tormund Horn-Blower  Tormund Tall-Talker  Breaker of Ice  Husband to Bears  Speaker to Gods  Father of Hosts
Tormund,Title,Tall-talker; Horn-blower and Breaker of Ice; Husband to Bears; the Mead-king of Ruddy Hall; Speaker to Gods and Father of Hosts
Tormund,Culture,Free Folk
Tormund,Book(s),A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Tormund,Played by,Kristofer Hivju
Tormund,TV series,Season 3
Torrek,Allegiance,Stone Crows
Torrek,Culture,Vale mountain clans
Torrek,Book(s),A Game of Thrones (appears)
Torren Liddle,Title,The Liddle;Lord Liddle
Torren Liddle,Allegiance,House Liddle
Torren Liddle,Culture,Northern mountain clans
Torren Liddle,Book(s),A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Torrhen Karstark,Alias,Torr
Torrhen Karstark,Allegiance,House Karstark
Torrhen Karstark,Culture,Northmen
Torrhen Karstark,Born,At Karhold;
Torrhen Karstark,Died,In 298 AC; at the Whispering Wood
Torrhen Karstark,Book(s),A Game of Thrones (appears) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Torrhen Karstark,Played by,Tyrone Mc;Elhennon
Torrhen Karstark,TV series,Season 2
Torrhen Stark,Reign,Ended in the War of Conquest.
Torrhen Stark,Full Name,Torrhen Stark
Torrhen Stark,Alias,The King Who Knelt
Torrhen Stark,Other Titles,King in the North (former)Lord of Winterfell;Warden of the North
Torrhen Stark,Culture,Northmen
Torrhen Stark,Royal House,House Stark
Torrhen Stark,Predecessor,unknown
Torrhen Stark,Successor,none
Torrhen Stark,Book(s),The World of Ice and Fire (mentioned) A Game of Thrones (mentioned) A Clash of Kings (mentioned) A Storm of Swords (mentioned)
Torwold Browntooth,Alias,Torwold Browntooth
Torwold Browntooth,Culture,Ironborn
Torwold Browntooth,Book(s),A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Torwynd,Alias,Torwynd the Tame
Torwynd,Culture,Free Folk
Torwynd,Died,In 300 AC
Torwynd,Book(s),A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Tothmure,Title,Maester
Tothmure,Died,In 299 AC; at Harrenhal
Tothmure,Book(s),A Clash of Kings (mentioned)
Trebor Jordayne,Title,Lord of the Tor
Trebor Jordayne,Allegiance,House Jordayne
Trebor Jordayne,Book(s),A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Tregar,Allegiance,House Lannister
Tregar,Died,In 298 AC; at King's Landing
Tregar,Book(s),A Game of Thrones (appears)
Tregar Ormollen,Culture,Lyseni
Tregar Ormollen,Book(s),A Clash of Kings (mentioned) A Feast for Crows (mentioned)
Tremond Gargalen,Title,Lord of Salt Shore
Tremond Gargalen,Allegiance,House Gargalen
Tremond Gargalen,Culture,Dornish
Tremond Gargalen,Book(s),A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Tristan Mudd,Title,Lord Commander of the Night's Watch
Tristan Mudd,Allegiance,House Mudd;Night's Watch
Tristan Mudd,Book(s),A Storm of Swords (mentioned)
Tristan Ryger,Allegiance,House Ryger
Tristan Ryger,Book(s),A Storm of Swords (mentioned)
Tristifer Botley,Alias,Tris
Tristifer Botley,Title,Heir to Lordsport
Tristifer Botley,Allegiance,House Botley
Tristifer Botley,Culture,Ironborn
Tristifer Botley,Born,At Lordsport;
Tristifer Botley,Book(s),A Feast for Crows (appears) A Dance with Dragons (appears)
Tristifer IV Mudd,Full Name,Tristifer of House Mudd; the Fourth of His Name
Tristifer IV Mudd,Alias,The Hammer of Justice
Tristifer IV Mudd,Other Titles,King of the Rivers and the Hills
Tristifer IV Mudd,Buried in, at Oldstones
Tristifer IV Mudd,Royal House,House Mudd
Tristifer IV Mudd,Successor,Tristifer V Mudd
Tristifer IV Mudd,Issue,Tristifer V Mudd
Tristifer IV Mudd,Book(s),A Storm of Swords (mentioned) The World of Ice and Fire (mentioned)
Tristifer V Mudd,Coronation,Tristifer; the Fifth of His Name; King of the Rivers and the Hills
Tristifer V Mudd,Full Name,Tristifer V Mudd
Tristifer V Mudd,Alias,Tristifer the Last
Tristifer V Mudd,Other Titles,King of the Rivers and the Hills
Tristifer V Mudd,Royal House,House Mudd
Tristifer V Mudd,Predecessor,Tristifer IV Mudd
Tristifer V Mudd,Successor,None
Tristifer V Mudd,Father,Tristifer IV Mudd
Tristimun,Title,Ser
Tristimun,Allegiance,Sea watch
Tristimun,Book(s),A Storm of Swords (mentioned)
Triston of Tally Hill,Alias,Triston of Tally Hill
Triston of Tally Hill,Title,Ser
Triston of Tally Hill,Allegiance,House Sunglass;King's Men
Triston of Tally Hill,Book(s),A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Triston Farwynd,Title,Lord of Sealskin Point
Triston Farwynd,Allegiance,House Farwynd
Triston Farwynd,Culture,Ironborn
Triston Farwynd,Book(s),A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Triston Sunderland,Title,Lord of the Three Sisters
Triston Sunderland,Allegiance,House Sunderland
Triston Sunderland,Book(s),A Feast for Crows (appears) A Dance with Dragons (mentioned)
Trystane Martell,Title,Prince
Trystane Martell,Allegiance,House Martell
Trystane Martell,Culture,Dornish
Trystane Martell,Born,In 287 AC;
Trystane Martell,Book(s),A Game of Thrones (mentioned) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Trystane Martell,Played by,Toby Sebastian
Trystane Martell,TV series,Season 5
Tuffleberry,Book(s),A Clash of Kings (appears)
Tumberjon,Allegiance,Night's Watch
Tumberjon,Book(s),A Storm of Swords (appears)
Tumco Lho,Alias,Tum
Tumco Lho,Title,Ser
Tumco Lho,Culture,Ghiscari
Tumco Lho,Born,At Basilisk Isles
Tumco Lho,Book(s),A Dance with Dragons (appears)
Turnip,Allegiance,House Stark
Turnip,Culture,northmen
Turnip,Book(s),A Clash of Kings (mentioned) A Feast for Crows (mentioned)
Turquin,Title,Maester
Turquin,Book(s),A Storm of Swords (mentioned)
Tya Lannister,Allegiance,House Baratheon  House Lannister
Tya Lannister,Spouse,Gowen Baratheon
Tya Lannister,Book(s),A Game of Thrones (mentioned)
Tyana Wylde,Allegiance,House Wylde;House Frey
Tyana Wylde,Spouse,Ser Aenys Frey
Tyana Wylde,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Tybero Istarion,Alias,Inkpots
Tybero Istarion,Allegiance,Second Sons
Tybero Istarion,Book(s),A Dance with Dragons (appears) The Winds of Winter (appears)
Tybolt Crakehall,Title,Ser
Tybolt Crakehall,Allegiance,House Crakehall
Tybolt Crakehall,Book(s),A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Tybolt Hetherspoon,Title,Ser
Tybolt Hetherspoon,Allegiance,House Hetherspoon
Tybolt Hetherspoon,Book(s),A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Tybolt Lannister,Title,Ser;Lord of Casterly Rock;Shield of Lannisport;Warden of the West
Tybolt Lannister,Allegiance,House Lannister
Tybolt Lannister,Culture,Westerman
Tybolt Lannister,Died,In 212 AC
Tybolt Lannister,Spouse,Lady Teora Kyndall
Tybolt Lannister,Book(s),The Hedge Knight (appears) The Sworn Sword (mentioned) The Mystery Knight (mentioned) The World of Ice and Fire (mentioned)
Tycho Nestoris,Alias,The Braavosi;
Tycho Nestoris,Allegiance,Iron Bank of Braavos
Tycho Nestoris,Culture,Braavosi
Tycho Nestoris,Book(s),A Dance with Dragons (appears) The Winds of Winter (appears)
Tycho Nestoris,Played by,Mark Gatiss
Tycho Nestoris,TV series,Season 4
Tyene Sand,Allegiance,House Martell
Tyene Sand,Culture,Dornish
Tyene Sand,Born,In 276 AC or 277 AC;
Tyene Sand,Book(s),A Storm of Swords (mentioned) A Feast for Crows (appears) A Dance with Dragons (appears)
Tyene Sand,Played by,Rosabell Laurenti Sellers
Tyene Sand,TV series,Season 5
Tygett Lannister,Alias,Tyg
Tygett Lannister,Title,Ser
Tygett Lannister,Allegiance,House Lannister
Tygett Lannister,Born,In 250 AC;
Tygett Lannister,Died,In or after 285 AC;
Tygett Lannister,Spouse,Darlessa Marbrand
Tygett Lannister,Book(s),A Game of Thrones (appendix) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Tyland Lannister,Title,Ser;Master of ships;Master of coin;Hand of the King
Tyland Lannister,Allegiance,House Lannister;Greens
Tyland Lannister,Died,In 133 AC;
Tyland Lannister,Book(s),The World of Ice and Fire (mentioned) The Rogue Prince (mentioned) The Princess and the Queen (mentioned)
Tymor,Allegiance,House Greyjoy
Tymor,Book(s),A Clash of Kings (appears)
Tyrek Lannister,Alias,&quot;Wet Nurse&quot;
Tyrek Lannister,Allegiance,House Lannister
Tyrek Lannister,Born,In 286 AC;
Tyrek Lannister,Died,In 299 AC (allegedly); at King's Landing;
Tyrek Lannister,Spouse,Ermesande Hayford
Tyrek Lannister,Book(s),A Game of Thrones (appears) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Tyrion Lannister,Alias,The Imp;Halfman;The boyman;Giant of Lannister;Lord Tywin's Doom;Lord Tywin's Bane;Yollo;Hugor Hill;No-Nose;Freak;Dwarf
Tyrion Lannister,Title,Acting Hand of the King (former)Master of coin (former)Lord of Casterly Rock (claimant)
Tyrion Lannister,Allegiance,House Lannister;Second Sons
Tyrion Lannister,Born,In 273 AC;; at Casterly Rock
Tyrion Lannister,Spouse,1st: Tysha2nd: Sansa Stark
Tyrion Lannister,Book(s),A Game of Thrones (POV) A Clash of Kings (POV) A Storm of Swords (POV) A Feast for Crows (mentioned) A Dance with Dragons (POV)  The Winds of Winter (POV)  The World of Ice and Fire (mentioned)
Tyrion Lannister,Played by,Peter Dinklage
Tyrion Lannister,TV series,Season 1
Tyrion Tanner,Allegiance,House Stokeworth
Tyrion Tanner,Born,In 300 AC; at Stokeworth
Tyrion Tanner,Book(s),A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Tysane Frey,Allegiance,House Frey
Tysane Frey,Born,In 292 AC;
Tysane Frey,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Tysha,Alias,Lady Tysha of House Silverfist
Tysha,Born,In 271 AC or 272 AC;
Tysha,Spouse,Tyrion Lannister
Tysha,Book(s),A Game of Thrones (mentioned) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Dance with Dragons (mentioned)
Tyta Frey,Alias,Tyta the Maid
Tyta Frey,Allegiance,House Frey
Tyta Frey,Born,In 269 AC or 270 AC;
Tyta Frey,Book(s),A Clash of Kings (mentioned) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Tytos Blackwood,Title,Lord of Raventree Hall
Tytos Blackwood,Allegiance,House Blackwood
Tytos Blackwood,Born,At Raventree Hall;
Tytos Blackwood,Book(s),A Game of Thrones (appears) A Clash of Kings (mentioned) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Tytos Brax,Title,Ser;Lord of Hornvale
Tytos Brax,Allegiance,House Brax
Tytos Brax,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Tytos Frey,Title,Ser
Tytos Frey,Allegiance,House Frey
Tytos Frey,Born,In or between 261 AC and 272 AC;
Tytos Frey,Died,In 299 AC; at the Twins
Tytos Frey,Spouse,Zhoe Blanetree
Tytos Frey,Book(s),A Clash of Kings (mentioned) A Storm of Swords (appears) A Feast for Crows (mentioned)
Tytos Lannister,Alias,The Laughing Lion;The Toothless Lion;
Tytos Lannister,Title,Lord of Casterly Rock;Shield of Lannisport;Warden of the West
Tytos Lannister,Allegiance,House Lannister
Tytos Lannister,Born,In 220 AC;
Tytos Lannister,Died,In 267 AC;; at Casterly Rock
Tytos Lannister,Spouse,Lady Jeyne Marbrand
Tytos Lannister,Book(s),The World of Ice and Fire (mentioned)  A Game of Thrones (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Tywin Frey,Alias,Ty
Tywin Frey,Title,Ser
Tywin Frey,Allegiance,House Frey;House Frey of Riverrun
Tywin Frey,Born,In 287 AC or 288 AC;
Tywin Frey,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Tywin Frey (son of Raymund),Allegiance,House Frey
Tywin Frey (son of Raymund),Born,In 299 AC or 300 AC;
Tywin Frey (son of Raymund),Book(s),A Feast for Crows (mentioned)
Tywin Lannister,Alias,The Lion of Lannister;The Old Lion;The Great Lion of the Rock
Tywin Lannister,Title,Lord of Casterly Rock;Shield of Lannisport;Warden of the West;Hand of the King;Savior of the City (of King's Landing)
Tywin Lannister,Allegiance,House Lannister
Tywin Lannister,Born,In 242 AC;
Tywin Lannister,Died,In 300 AC; at King's Landing
Tywin Lannister,Spouse,Joanna Lannister
Tywin Lannister,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (mentioned) The World of Ice and Fire (mentioned)
Tywin Lannister,Played by,Charles Dance
Tywin Lannister,TV series,Season 1
Ulf son of Umar,Allegiance,Moon Brothers
Ulf son of Umar,Culture,Vale mountain clans
Ulf son of Umar,Died,In 298 AC; at the Green Fork
Ulf son of Umar,Book(s),A Game of Thrones (appears)
Ulf the Ill,Alias,Ulf the Ill
Ulf the Ill,Allegiance,House Greyjoy
Ulf the Ill,Culture,Ironborn
Ulf the Ill,Died,In 299 AC; at Winterfell
Ulf the Ill,Book(s),A Clash of Kings (appears)
Ulf the White,Alias,Ulf White;Ulf the Sot;The Betrayer
Ulf the White,Title,Ser;Lord of Bitterbridge
Ulf the White,Allegiance,Blacks;Greens
Ulf the White,Died,In 130 AC; at Tumbleton
Ulf the White,Book(s),The World of Ice and Fire (mentioned) The Princess and the Queen (mentioned)
Uller,Allegiance,House Greyjoy
Uller,Culture,Ironborn
Uller,Book(s),A Clash of Kings (appears) A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Ulmer,Alias,Ulmer of the Kingswood
Ulmer,Allegiance,Kingswood Brotherhood Night's Watch
Ulmer,Book(s),A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Ulrick Dayne,Title,Ser;Sword of the Morning
Ulrick Dayne,Allegiance,House Dayne
Ulrick Dayne,Culture,Dornishmen
Ulrick Dayne,Book(s),The Sworn Sword (mentioned)
Ulwyck Uller,Title,Ser
Ulwyck Uller,Allegiance,House Uller
Ulwyck Uller,Book(s),A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Umar,Allegiance,Moon Brothers
Umar,Culture,Vale mountain clans
Umar,Book(s),A Game of Thrones (mentioned)
Umfred,Allegiance,House Baelish
Umfred,Book(s),A Storm of Swords (appears)
Umma,Allegiance,Faceless Men
Umma,Book(s),A Feast for Crows (mentioned)
Unella,Title,Septa
Unella,Allegiance,Faith of the Seven;Most Devout
Unella,Book(s),A Feast for Crows (appears) A Dance with Dragons (mentioned)
Urreg,Book(s),A Clash of Kings (appears)
Urek Ironmaker,Allegiance,House Ironmaker
Urek Ironmaker,Culture,Ironborn
Urek Ironmaker,Book(s),A Feast for Crows (mentioned)
Urras Ironfoot,Full Name,Urras Greyiron
Urras Ironfoot,Alias,Urras Ironfoot
Urras Ironfoot,Other Titles,High King of the Iron Islands;Salt King of Orkmont
Urras Ironfoot,Born in, at Orkmont
Urras Ironfoot,Royal House,House Greyiron
Urras Ironfoot,Successor,Erich I Greyiron (briefly)Regnar Drumm
Urras Ironfoot,Issue,Erich I Greyiron
Urras Ironfoot,Book(s),A Feast for Crows (mentioned) The World of Ice and Fire (mentioned)
Urrathon,Alias,Urrathon Night-Walker
Urrathon,Culture,Qartheen
Urrathon,Book(s),A Clash of Kings (mentioned)
Urrigon Greyjoy,Alias,Urri
Urrigon Greyjoy,Allegiance,House Greyjoy
Urrigon Greyjoy,Culture,Ironborn
Urrigon Greyjoy,Born,In 268 AC or 269 AC;
Urrigon Greyjoy,Died,At Pyke
Urrigon Greyjoy,Book(s),A Feast for Crows (mentioned)
Urron Greyiron,Reign,about 5;000 years ago.
Urron Greyiron,Full Name,Urron Greyiron
Urron Greyiron,Alias,Urron Redhand
Urron Greyiron,Other Titles,Iron King;King of the Iron Islands;Salt king of Orkmont
Urron Greyiron,Culture,Ironborn
Urron Greyiron,Royal House,House Greyiron
Urron Greyiron,Predecessor,Urragon IV Greyiron
Urron Greyiron,Book(s),The World of Ice and Fire (mentioned) A Game of Thrones (mentioned)
Urswyck,Alias,Urswyck the Faithful;Faithful Urswyck
Urswyck,Allegiance,Brave Companions
Urswyck,Book(s),A Storm of Swords (appears) A Feast for Crows (mentioned)
Urzen,Allegiance,House Greyjoy
Urzen,Culture,Ironborn
Urzen,Book(s),A Clash of Kings;A Storm of Swords (mentioned)
Utherydes Wayn,Title,Steward
Utherydes Wayn,Allegiance,House Wayn;House Tully
Utherydes Wayn,Born,In or between 237 AC and 241 AC (roughly);
Utherydes Wayn,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Uthor Tollett,Title,Lord of the Grey Glen
Uthor Tollett,Allegiance,House Tollett
Uthor Tollett,Culture,Valemen
Uthor Tollett,Book(s),A Feast for Crows (mentioned)
Uthor Underleaf,Alias,The Snail
Uthor Underleaf,Title,Ser
Uthor Underleaf,Born,In or around 181 AC; 182 AC or 183 AC;
Uthor Underleaf,Book(s),The Mystery Knight (appears)
Utt,Title,Septon
Utt,Allegiance,Brave Companions;Faith of the Seven (expelled)
Utt,Died,In 299 AC; at the burning septry
Utt,Book(s),A Clash of Kings (appears) A Storm of Swords (appears)
Vaellyn,Alias,'Vinegar' Vaellyn
Vaellyn,Title,Archmaester
Vaellyn,Book(s),A Feast for Crows (mentioned)
Vaemond Velaryon,Title,Ser
Vaemond Velaryon,Allegiance,House Velaryon
Vaemond Velaryon,Culture,Valyrian
Vaemond Velaryon,Died,In 126 AC
Vaemond Velaryon,Book(s),The Rogue Prince (mentioned)
Val,Alias,The wildling princess;Lady Val
Val,Culture,Free folk
Val,Book(s),A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Valaena Velaryon,Title,Lady of Dragonstone
Valaena Velaryon,Allegiance,House Velaryon;House Targaryen
Valaena Velaryon,Culture,Valyrian
Valaena Velaryon,Spouse,Aerion Targaryen
Valaena Velaryon,Book(s),The World of Ice and Fire (mentioned)
Valarr Targaryen,Alias,The Young Prince
Valarr Targaryen,Title,Prince  Hand of the King (possibly);
Valarr Targaryen,Allegiance,House Targaryen
Valarr Targaryen,Culture,Valyrian
Valarr Targaryen,Born,In or between 183 AC and 193 AC;
Valarr Targaryen,Died,In 209 AC; at King's Landing
Valarr Targaryen,Spouse,Kiera of Tyrosh;
Valarr Targaryen,Book(s),The Hedge Knight (appears) The Sworn Sword (mentioned) The Mystery Knight (mentioned)
Valarr Targaryen,Personal Arms,Black; the red three-headed dragon of House Targaryen; with a red border;
Varamyr,Alias,Varamyr Sixskins;Haggon;Lump
Varamyr,Culture,Free Folk
Varamyr,Born,At a village Beyond the Wall
Varamyr,Died,In 300 AC; at a village Beyond the Wall
Varamyr,Book(s),A Storm of Swords (appears) A Dance with Dragons (POV)
Vardis Egen,Title,Ser;Captain of the guards
Vardis Egen,Allegiance,House Egen;House Arryn
Vardis Egen,Culture,Valemen
Vardis Egen,Born,In or between 249 AC and 253 AC;
Vardis Egen,Died,In 298 AC; at the Eyrie;
Vardis Egen,Book(s),A Game of Thrones (appears) A Clash of Kings (mentioned) A Storm of Swords (mentioned)
Vardis Egen,Played by,Brendan Mc;Cormack
Vardis Egen,TV series,Season 1
Vargo Hoat,Alias,The Goat Goat of Harrenhal The Crippler The Qohorik
Vargo Hoat,Title,Lord of Harrenhal
Vargo Hoat,Allegiance,Brave Companions
Vargo Hoat,Culture,Qohori
Vargo Hoat,Died,In 300 AC; at Harrenhal
Vargo Hoat,Book(s),A Game of Thrones (mentioned) A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (mentioned)
Varly,Allegiance,House Stark
Varly,Culture,northmen
Varly,Died,In 298 AC; at King's Landing
Varly,Book(s),A Game of Thrones (appears)
Varys,Alias,Lord Varys;The Spider;The Eunuch;Rugen
Varys,Title,Master of Whisperers;Undergaoler (as Rugen)
Varys,Born,At Lys;
Varys,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Varys,Played by,Conleth Hill
Varys,TV series,Season 1
Vayon Poole,Title,Steward of Winterfell
Vayon Poole,Allegiance,House Poole
Vayon Poole,Died,In 298 AC; at King's Landing
Vayon Poole,Book(s),A Game of Thrones (appears) A Clash of Kings (mentioned)
Veiled Lady,Alias,The Veiled Lady
Veiled Lady,Culture,Braavosi
Veiled Lady,Book(s),A Feast for Crows (mentioned)
Vickon Botley,Allegiance,House Botley
Vickon Botley,Culture,Ironborn
Vickon Botley,Book(s),A Feast for Crows (mentioned)
Vickon Greyjoy,Title,Lord of the Iron Islands;Lord Reaper of Pyke
Vickon Greyjoy,Allegiance,House Greyjoy
Vickon Greyjoy,Died,In 33 AC;
Vickon Greyjoy,Book(s),The World of Ice and Fire (mentioned) A Game of Thrones (mentioned) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Victaria Tyrell,Allegiance,House Tyrell
Victaria Tyrell,Spouse,Jon Bulwer
Victaria Tyrell,Book(s),A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Victarion Greyjoy,Alias,The Iron Captain
Victarion Greyjoy,Title,Lord Captain of the Iron Fleet;Master of the Iron Victory
Victarion Greyjoy,Allegiance,House Greyjoy
Victarion Greyjoy,Culture,Ironborn
Victarion Greyjoy,Born,In 268 AC or before; at Pyke
Victarion Greyjoy,Book(s),A Game of Thrones (mentioned) A Clash of Kings (appears) A Storm of Swords (mentioned) A Feast for Crows (POV) A Dance with Dragons (POV) The Winds of Winter (POV)
Victor Tyrell,Title,Ser
Victor Tyrell,Allegiance,House Tyrell
Victor Tyrell,Book(s),A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Violet,Book(s),A Storm of Swords (mentioned)
